question,answer,correct_answer,context
All the models proposed in this paper are sequence-to-sequence models. True or False?,"The hard attention model is non-differentiable because it selects one patch of the image to attend to at a time, which makes the model non-differentiable at the patch-level","The authors seem to be using LSTM models for performing their analysis and experiments. However, the term “sequence-to-sequence” models is not defined in this paper, so answering True or False for this question is not possible based on the contents of this paper alone.","Long short-term memory (LSTM, [18]) networks haverecently seen considerable success in tasks such as machine translation andlanguage modelling [17]. When used for translation, DeepLSTMs [19] have shown a remarkable ability to embed longsequences into a vector representation which contains enough information togenerate a full translation in another language. Our first neural model forreading comprehension tests the ability of Deep LSTM encoders to handlesignificantly longer sequences. We feed our documents one word at a time intoa Deep LSTM encoder, after a delimiter we then also feed the query into theencoder. Alternatively we also experiment with processing the query then thedocument. The result is that this model processes each document query pair as asingle long sequence. Given the embedded document and query the networkpredicts which token in the document answers the query. Within the group of neural models explored here, the results paint a clearpicture with the Impatient and the Attentive Readers outperforming all othermodels. This is consistent with our hypothesis that attention is a keyingredient for machine reading and question answering due to the need topropagate information over long distances. The Deep LSTM Readerperforms surprisingly well, once again demonstrating that this simple sequentialarchitecture can do a reasonable job of learning to abstract long sequences,even when they are up to two thousand tokens in length. However this model doesfail to match the performance of the attention based models, even though theseonly use single layer LSTMs.666Memory constraints prevented us fromexperimenting with deeper Attentive Readers."
What is the main mathematical difference between the attentive LSTM reader and the vanilla Deep LSTM?,The cost function of the depthwise convolution is D_{K}\cdot D_{K}\cdot\alpha M\cdot D_{F}\cdot D_{F},The main difference between the attention-based LSTM and the vanilla one is that the former addresses the limitation of vanilla LSTM’s fixed and limited context size by taking into account the entire context of every token via a token-level attention mechanism.,"The Attentive Reader can be viewed as a generalisation of the application ofMemory Networks to question answering [3]. That model employsan attention mechanism at the sentence level where each sentence is representedby a bag of embeddings. The Attentive Reader employs a finer grained tokenlevel attention mechanism where the tokens are embedded given their entirefuture and past context in the input document. We can visualise the attention mechanism as a heatmap over a context document togain further insight into the models’ performance. The highlighted words showwhich tokens in the document were attended to by the model. In addition we mustalso take into account that the vectors at each token integrate long rangecontextual information via the bidirectional LSTM encoders.Figure 3 depicts heat maps for two queries that were correctlyanswered by the Attentive Reader.777Note that these examples were chosenas they were short, the average CNN validation document contained 763 tokens and27 entities, thus most instances were significantly harder to answer than theseexamples. In both cases confidently arriving at the correct answer requires themodel to perform both significant lexical generalsiation, e.g. ‘killed’\rightarrow ‘deceased’, and co-reference or anaphora resolution, e.g. ‘ent119 was killed’ \rightarrow ‘he was identified.’ However it is alsoclear that the model is able to integrate these signals with rough heuristicindicators such as the proximity of query words to the candidate answer."
"Assuming the authors performed a brute force hyperparameter search on all permutations of the five hyperparameters - hidden layer sizes, depths, LR, batch size and dropout - how many total experiments would they have had to perform?","Localization errors refer to the inaccuracies in the bounding box coordinates of detected objects, where the object is placed in the wrong location or the size of the bounding box is incorrect","For Deep LSTM readers 3 values of hidden layer sizes, 3 values of depths, 3 starting LRs, 2 batch sizes and 3 dropout fractions are considered. This is a total of (3 * 3 * 3 * 2 * 3) = 162 configurations. Similarly for attention models, they experimented with 3 hidden layer sizes, 4 possible learning rates, 3 batch sizes and 4 values of dropout (3*4*3*4) = 144 possible configurations. Thus, if the authors performed a brute force hyperparameter search, they would have had to done 162 experiments for the vanilla Deep LSTM model and 144 experiments for the attention based model, or a total of 162 + 144 = 306 experiments.","All model hyperparameters were tuned on the respective validation sets of thetwo corpora.555For the Deep LSTM Reader, we consider hidden layer sizes{[64,128,\underline{256}]}, depths {[1,\underline{2},4]}, initiallearning rates {[1\text{\sc{e}}{-}3,5\text{\sc{e}}{-}4,\underline{1\text{\sc{e}}{-}4},5\text{\sc{e}}{-}5]}, batchsizes {[16,\underline{32}]} and dropout [0.0,\underline{0.1},0.2]. Weevaluate two types of feeds. In the cqa setup we feed first thecontext document and subsequently the question into the encoder, while theqca model starts by feeding in the question followed by the contextdocument. We report results on the best model (underlined hyperparameters,qca setup). For the attention models we consider hidden layer sizes[64,128,256], single layer, initial learning rates[1\text{\sc{e}}{-}4,5\text{\sc{e}}{-}5,2.5\text{\sc{e}}{-}5,1\text{\sc{e}}{-}5], batch sizes [8,16,32] and dropout[0,0.1,0.2,0.5]. For all models we used asynchronous RmsProp[20] with a momentum of 0.9 and a decay of 0.95.See Appendix A for more details of the experimental setup.Our experimental results are in Table 5, with theAttentive and Impatient Readers performing best across both datasets."
Is hyperparameter optimization performed independently for the two dataset corpora?,"Sure! Here's my answer:

A VAE is different from an autoencoder in that it has a probabilistic generative model, allowing it to learn a continuous and structured representation of the data, whereas an autoencoder only learns a reconstruction of the input data","Yes, it does appear that hyperparameter optimization for each dataset is performed independently.","All model hyperparameters were tuned on the respective validation sets of thetwo corpora.555For the Deep LSTM Reader, we consider hidden layer sizes{[64,128,\underline{256}]}, depths {[1,\underline{2},4]}, initiallearning rates {[1\text{\sc{e}}{-}3,5\text{\sc{e}}{-}4,\underline{1\text{\sc{e}}{-}4},5\text{\sc{e}}{-}5]}, batchsizes {[16,\underline{32}]} and dropout [0.0,\underline{0.1},0.2]. Weevaluate two types of feeds. In the cqa setup we feed first thecontext document and subsequently the question into the encoder, while theqca model starts by feeding in the question followed by the contextdocument. We report results on the best model (underlined hyperparameters,qca setup). For the attention models we consider hidden layer sizes[64,128,256], single layer, initial learning rates[1\text{\sc{e}}{-}4,5\text{\sc{e}}{-}5,2.5\text{\sc{e}}{-}5,1\text{\sc{e}}{-}5], batch sizes [8,16,32] and dropout[0,0.1,0.2,0.5]. For all models we used asynchronous RmsProp[20] with a momentum of 0.9 and a decay of 0.95.See Appendix A for more details of the experimental setup.Our experimental results are in Table 5, with theAttentive and Impatient Readers performing best across both datasets."
The deepest model that the authors experimented with had 8 layers in it. True or False? ,"The final improved architecture used by the authors for experiments in this paper is a variable width model with 2 residual blocks per resolution, multiple heads with 64 channels per head, attention at 32, 16, and 8 resolutions, BigGAN residual blocks for up and downsampling, and adaptive group normalization for injecting timestep and class embeddings into residual blocks","False. The deepest model the authors experimented with appears to be a four layer DeepLSTM Reader model. For attention models, the authors exclusively used only a single layer model.","All model hyperparameters were tuned on the respective validation sets of thetwo corpora.555For the Deep LSTM Reader, we consider hidden layer sizes{[64,128,\underline{256}]}, depths {[1,\underline{2},4]}, initiallearning rates {[1\text{\sc{e}}{-}3,5\text{\sc{e}}{-}4,\underline{1\text{\sc{e}}{-}4},5\text{\sc{e}}{-}5]}, batchsizes {[16,\underline{32}]} and dropout [0.0,\underline{0.1},0.2]. Weevaluate two types of feeds. In the cqa setup we feed first thecontext document and subsequently the question into the encoder, while theqca model starts by feeding in the question followed by the contextdocument. We report results on the best model (underlined hyperparameters,qca setup). For the attention models we consider hidden layer sizes[64,128,256], single layer, initial learning rates[1\text{\sc{e}}{-}4,5\text{\sc{e}}{-}5,2.5\text{\sc{e}}{-}5,1\text{\sc{e}}{-}5], batch sizes [8,16,32] and dropout[0,0.1,0.2,0.5]. For all models we used asynchronous RmsProp[20] with a momentum of 0.9 and a decay of 0.95.See Appendix A for more details of the experimental setup.Our experimental results are in Table 5, with theAttentive and Impatient Readers performing best across both datasets."
The Daily Mail part of the dataset is approximately 2x larger than the CNN section of the dataset. True or false?  ,"No.

The extended search strategy does not appear to be beneficial in this case, as the random search and random selection methods, which have a simpler search strategy, are able to achieve similar performance to the proposed technique. The gain does not seem to come from the modified search space, but rather from the specific architecture of the supernet","True. The ratio of number of articles from CNN and DailyMail is 1:2.36. Similarly, the ratio of queries from these datasets is given by 380,298:879,450 = 1:2.31. Since 2.31 and 2.36 both round down to 2, the statement is true, approximately.","Here we propose a methodology for creating real-world, large scale supervisedtraining data for learning reading comprehension models. Inspired by work insummarisation [10, 11], we create two machinereading corpora by exploiting online newspaper articles and their matchingsummaries. We have collected 93k articles from the CNN111www.cnn.com and 220k articles fromthe Daily Mail222www.dailymail.co.uk websites. Both news providers supplement their articles with anumber of bullet points, summarising aspects of the information contained in thearticle. Of key importance is that these summary points are abstractive and donot simply copy sentences from the documents.We construct a corpus of document–query–answer triples by turning thesebullet points into Cloze [12] style questions by replacingone entity at a time with a placeholder. This results in a combined corpus ofroughly 1M data points (Table 1).Code to replicate our datasets—and to apply this method to other sources—isavailable online333http://www.github.com/deepmind/rc-data/."
Do the authors claim that bigger datasets would improve the performance and expressiveness of reading comprehension models?,The underlying relationship is assumed to be a rendering of the same underlying scene,"Based on the information in this paper alone, it is unclear if a bigger dataset would improve the performance of reading comprehension models. While authors explain that a key contribution they make is the creation of a real-world, massive labelled reading comprehension dataset, it is unclear if such a dataset is essential to improve the performance of reading comprehension models - the authors pitch their dataset-building approach also as a way of evaluating performance of these models, which is different from the dataset itself leading to better performance.","While obtaining supervised natural language reading comprehension data hasproved difficult, some researchers have explored generating synthetic narrativesand queries [3, 4]. Such approaches allowthe generation of almost unlimited amounts of supervised data and enableresearchers to isolate the performance of their algorithms on individualsimulated phenomena. Work on such data has shown that neural network basedmodels hold promise for modelling reading comprehension, something that wewill build upon here. Historically, however, many similar approaches inComputational Linguistics have failed to manage the transition from syntheticdata to real environments, as such closed worlds inevitably fail tocapture the complexity, richness, and noise of natural language[5]. The supervised paradigm for training machine reading and comprehension modelsprovides a promising avenue for making progress on the path to building fullnatural language understanding systems. We have demonstrated a methodology forobtaining a large number of document-query-answer triples and shown thatrecurrent and attention based neural networks provide an effective modellingframework for this task.Our analysis indicates that the Attentive and Impatient Readers are able topropagate and integrate semantic information over long distances. In particularwe believe that the incorporation of an attention mechanism is the keycontributor to these results. Here we propose a methodology for creating real-world, large scale supervisedtraining data for learning reading comprehension models. Inspired by work insummarisation [10, 11], we create two machinereading corpora by exploiting online newspaper articles and their matchingsummaries. We have collected 93k articles from the CNN111www.cnn.com and 220k articles fromthe Daily Mail222www.dailymail.co.uk websites. Both news providers supplement their articles with anumber of bullet points, summarising aspects of the information contained in thearticle. Of key importance is that these summary points are abstractive and donot simply copy sentences from the documents.We construct a corpus of document–query–answer triples by turning thesebullet points into Cloze [12] style questions by replacingone entity at a time with a placeholder. This results in a combined corpus ofroughly 1M data points (Table 1).Code to replicate our datasets—and to apply this method to other sources—isavailable online333http://www.github.com/deepmind/rc-data/. Note that the focus of this paper is to provide a corpus for evaluating a model’sability to read and comprehend a single document, not world knowledge orco-occurrence. To understand that distinction consider for instance thefollowing Cloze form queries (created from headlines in the Daily Mailvalidation set):a) The hi-tech bra that helps you beat breast X;b) Could Saccharin help beat X ?;c) Can fish oils help fight prostate X ?An ngram language model trained on the Daily Mail would easily correctly predictthat (X = cancer), regardless of the contents of the contextdocument, simply because this is a very frequently cured entity in the Daily Mailcorpus."
How is the Uniform Reader model different from the base LSTM model?,"The difference between the deep spatial features of the noisy image \phi(z_t) and the noisy image z_t is that \phi(z_t) captures the underlying clean image structure, while z_t represents the noisy observation","Beyond some information that the uniform reader has poor performance, the paper does not explicitly define what this is.",The poor results of the Uniform Reader support our hypothesis ofthe significance of the attention mechanism in the Attentive model’sperformance as the only difference between these models is that the attentionvariables are ignored in the Uniform Reader. The precision@recall statistics inFigure 2 again highlight the strength of the attentive approach.
What is a BLEU score? ,EM and F1 score,"BLUE score measures the precision of n-grams between generated sentences and reference sentences, which has been shown to correlate well with human evaluation.","The rest of the metrics can be computed automatically assuming one has access togroundtruth, i.e. human generated descriptions. The most commonly used metricso far in the image description literature has been theBLEU score [25],which is a form of precision of word n-grams between generated and referencesentences 222In this literature, most previous work report BLEU-1, i.e., they only compute precision at the unigram level, whereas BLEU-n is a geometric average of precision over 1- to n-grams..Even though this metric has some obvious drawbacks, it has been shown to correlatewell with human evaluations. In this work, we corroborate this as well, aswe show in Section 4.3. An extensive evaluation protocol, as wellas the generated outputs of our system, can be found at \urlhttp://nic.droppages.com/."
What is batch normalization?,"The performance was measured using ROUGE and F1 scores, and the human-guided knowledge distilled model significantly outperformed the baseline models for both summarization and topic segmentation tasks, with an average 15% improvement for summarization and 12% improvement for topic segmentation","While P0 shows that the authors using batch normalization, it does not contains the definition. Therefore, this question cannot be answered in this paper and requires external knowledge.","For the representation of images, we use a Convolutional Neural Network(CNN). They have been widely used and studied for image tasks, and arecurrently state-of-the art for object recognition and detection. Our particularchoice of CNN uses a novel approach to batch normalization and yields thecurrent best performance on the ILSVRC 2014 classificationcompetition [12]. Furthermore, they have been shown togeneralize to other tasks such as scene classification by means oftransfer learning [4]. The words are represented with an embeddingmodel."
Could the authors have used a BiLSTM instead of an LSTM to improve the performance of their proposed model further?,"No, Google Street View Time Machine has not been previously used in another research. The authors propose to exploit this novel data source for the first time to create a dataset for place recognition","While the paper shows that LSTM has shown good performance on some sequence tasks, since there is no evidential information about BiLSTM in this paper this question cannot be answered in this paper. To answer the question, external knowledge about BiLSTM is required to compare how it would work compared to existing LSTM model.","It is natural to model p(S_{t}|I,S_{0},\ldots,S_{t-1}) with aRecurrent Neural Network (RNN), where the variable number ofwords we condition upon up to t-1 is expressed by a fixed lengthhidden state or memory h_{t}. This memory is updated after seeing anew input x_{t} by using a non-linear function f:h_{t+1}=f(h_{t},x_{t})\;.(3)To make the above RNN more concrete two crucial design choices are to be made: what isthe exact form of f and how are the images and words fed as inputs x_{t}. Forf we use a Long-Short Term Memory (LSTM) net, which has shown state-of-the artperformance on sequence tasks such as translation. This model is outlined in thenext section. The LSTM model is trained to predict each word of thesentence after it has seen the image as well as all preceding words as defined byp(S_{t}|I,S_{0},\ldots,S_{t-1}). For this purpose, it is instructive to thinkof the LSTM in unrolled form – a copy of the LSTM memory is created for theimage and each sentence word such that all LSTMs share the same parameters and theoutput m_{t-1} of the LSTM at time t-1 is fed to the LSTM at time t (seeFigure 3). All recurrent connections are transformed to feed-forward connections in theunrolled version. In more detail, if we denote by I the inputimage and by S=(S_{0},\ldots,S_{N}) a true sentence describing this image, theunrolling procedure reads:\displaystyle x_{-1}\displaystyle=\displaystyle\textrm{CNN}(I)(10)\displaystyle x_{t}\displaystyle=\displaystyle W_{e}S_{t},\quad t\in\{0\ldots N-1\}\quad(11)\displaystyle p_{t+1}\displaystyle=\displaystyle\textrm{LSTM}(x_{t}),\quad t\in\{0\ldots N-1\}\quad(12)where we represent each word as a one-hot vector S_{t} of dimension equal to thesize of the dictionary. Note that we denote by S_{0} a special start word and byS_{N} a special stop word which designates the start and end of the sentence.In particular by emitting the stop word the LSTM signals that a complete sentencehas been generated. Both the image and the words are mapped to the same space,the image by using a vision CNN, the words by using word embedding W_{e}. The imageI is only input once, at t=-1, to inform the LSTM about the image contents. Weempirically verified that feeding the image at each time step as an extra input yieldsinferior results, as the network can explicitly exploit noise in the image andoverfits more easily."
What metrics are used in the ILSVRC 2014 competition?,They use a mask vector m to ignore unspecified labels,"Since there is no information about what metrics is used for ILSVRC 2014, this question cannot be answered in this paper.","For the representation of images, we use a Convolutional Neural Network(CNN). They have been widely used and studied for image tasks, and arecurrently state-of-the art for object recognition and detection. Our particularchoice of CNN uses a novel approach to batch normalization and yields thecurrent best performance on the ILSVRC 2014 classificationcompetition [12]. Furthermore, they have been shown togeneralize to other tasks such as scene classification by means oftransfer learning [4]. The words are represented with an embeddingmodel."
What is the full form of ILSVRC? ,The designer of the captioning model is responsible for designating the control signal,"Since there are no information about the form of ILSVRC in this paper, this question cannot be answered and requires external knowledge.","For the representation of images, we use a Convolutional Neural Network(CNN). They have been widely used and studied for image tasks, and arecurrently state-of-the art for object recognition and detection. Our particularchoice of CNN uses a novel approach to batch normalization and yields thecurrent best performance on the ILSVRC 2014 classificationcompetition [12]. Furthermore, they have been shown togeneralize to other tasks such as scene classification by means oftransfer learning [4]. The words are represented with an embeddingmodel."
"Based on the authors' definition of the loss function used during training, will data points that contain longer sentences be likelier to have higher absolute value of loss and if so, why? ",The average attention sparsity is measured by calculating the average mask density across all attention heads,"Since the loss function is defined as a sum of the negative log likelihood and not averaged, the value tends to be increased in proportion to the length of S (N in eq. (13)). Therefore, data points that contain longer sentences would be likely to have higher absolute value of loss.","Our loss is the sum of the negative log likelihood of the correct word at each step as follows:L(I,S)=-\sum_{t=1}^{N}\log p_{t}(S_{t})\;.(13)The above loss is minimized w.r.t. all the parameters of the LSTM, the top layer of theimage embedder CNN and word embeddings W_{e}."
How is the BLEU-1 score different from the BLEU-4 score?,Flexibility in target domain steering,"While BLEU-4 compute precision at the 4-gram level, BLEU-1 compute precision at the unigram (1-gram) level.","The rest of the metrics can be computed automatically assuming one has access togroundtruth, i.e. human generated descriptions. The most commonly used metricso far in the image description literature has been theBLEU score [25],which is a form of precision of word n-grams between generated and referencesentences 222In this literature, most previous work report BLEU-1, i.e., they only compute precision at the unigram level, whereas BLEU-n is a geometric average of precision over 1- to n-grams..Even though this metric has some obvious drawbacks, it has been shown to correlatewell with human evaluations. In this work, we corroborate this as well, aswe show in Section 4.3. An extensive evaluation protocol, as wellas the generated outputs of our system, can be found at \urlhttp://nic.droppages.com/."
"Can the architecture the authors' proposed be replaced with newer model architectures such as attention-based models or transformers, or is their task incompatible with these newer architectures?",Region of Interest,"Since the proposed method use RNN architecture for sequence modeling and not utilizing RNN-specific structures, other newer model like attention-based models or transformers also can be used instead of RNN.","In this work we combine deepconvolutional nets for image classification [12] withrecurrent networks for sequence modeling[10], to create a single networkthat generates descriptions of images. The RNN is trained in the context ofthis single “end-to-end” network. The model is inspiredby recent successes of sequence generation in machine translation[3, 2, 30], withthe difference that instead of starting with a sentence, we provide an imageprocessed by a convolutional net. The closest works are by Kiros et al. [15] whouse a neural net, but a feedforward one, to predict the next word given the imageand previous words. A recent work by Mao et al. [21] uses a recurrentNN for the same prediction task. This is very similar to the present proposal butthere are a number of important differences: we use a more powerful RNN model,and provide the visual input to the RNN model directly, which makes it possiblefor the RNN to keep track of the objects that have been explained by the text. Asa result of these seemingly insignificant differences, our system achievessubstantially better results on the established benchmarks. Lastly, Kiros et al. [14]propose to construct a joint multimodal embedding space by using a powerfulcomputer vision model and an LSTM that encodes text. In contrast to our approach,they use two separate pathways (one for images, one for text) to define a joint embedding,and, even though they can generate text, their approach is highly tuned for ranking."
"Based on the statement that the authors used a beam size of 20 during inference, how many total sentences would be generated till timestep t=10?",Yes,"Since BeamSearch always keep only the resulting best k (=beam size) candidates in every time step, 20 sentences would be generated till timestep t=10.","There are multiple approaches that can be used to generate a sentence givenan image, with NIC. The first one is Sampling where we justsample the first word according to p_{1}, then provide the correspondingembedding as input and sample p_{2}, continuing like this until we sample thespecial end-of-sentence token or some maximum length.The second one is BeamSearch: iterativelyconsider the set of the k best sentences up to timet as candidates to generate sentences of size t+1, and keep only theresulting best k of them. This better approximatesS=\arg\max_{S^{\prime}}p(S^{\prime}|I).We used the BeamSearch approach in the following experiments, with abeam of size 20. Using a beam size of 1 (i.e., greedy search) did degrade ourresults by 2 BLEU points on average."
"Would more recent frameworks, such as JAX be considered imperative or declarative?","No, convolutional neural networks (CNNs) do not generally succeed in sequence modeling. While CNNs can be used for sequence modeling tasks, they have limitations in terms of computational complexity and ability to learn long-range dependencies","While some recent framework (Tensorflow) has aspect of both imperative and declarative paradigms, the question cannot be answered in this paper since there is no evidential information about the paradigm shift over time.","Most ML systems embed a domain-specific language (DSL) into a host language(e.g. Python, Lua, C++). Possible programming paradigms range from imperative,where the user specifies exactly “how” computation needs to beperformed, and declarative, where the user specification focuses on“what” to be done. Examples of imperative programming include numpy andMatlab, whereas packages such as Caffe, CXXNet program over layer definitionwhich abstracts away and hide the inner-working of actual implementation. The dividing line between the two can be muddy at times. Frameworkssuch as Theano and the more recent Tensorflow can also be viewed as a mixture of both, they declare a computational graph, yet the computation within the graph is imperatively specified."
"The authors mention that their framework, MXNet, uses ""lazy evaluation"". Define lazy evaluation.","The NaturalInstructions dataset and the SuperNaturalInstructions dataset share similarities in their focus on instruction-following tasks, but they differ in their scope and diversity.

The NaturalInstructions dataset is a comprehensive collection of existing NLP tasks, while the SuperNaturalInstructions dataset is a curated set of instructions specifically designed for user-oriented applications and diversified in style and format.

The SuperNaturalInstructions dataset aims to tackle the bottleneck of human annotation dependence and provide a testbed for evaluating instruction-based models' generalizability to unseen tasks, while the NaturalInstructions dataset is more focused on research purposes and skewed towards classification tasks","Lazy evalution is the way of evalution of data like NDArray, which the actual data push and pull are scheduled by the backend engine so that the data dependency can be correctly resolved.","The above is as efficient as the implementation using a single but often much more complex symbolic expression.The reason is that MXNet uses lazy evaluation of NDArray and the backendengine can correctly resolve the data dependency between the two. The above mixed implementation has the same performance comparing to a singledeclarative program, because the actual data push and pull are executed by lazyevaluation, which are scheduled by the backend engine just like others."
Can collective communication primitives such as all_reduce or all_gather be implemented using MXNet?,"YES. Transfer learning was consistently beneficial on the CADe process, as evidenced by the improved performance of the CNN models when trained on the large-scale annotated natural image datasets (ImageNet) and fine-tuned on the target medical image dataset","Since MXNet provides distributed key-value store mechanism and user-defined updater logics, it is likely to be able to implement collective communication primitives using MXNet.",Paragraph 10
"Why do the authors use heuristics to estimate a variable's life span in the computational graph, instead of calculating it exactly?","Yes. Breaking the problem into smaller sub-problems and using separate LMs to solve each module can increase computation, as it requires more computational resources and time to solve multiple modules compared to solving a single, larger problem","While calculating the variable's estimated life span costs quadratic time complexity, heuristics costs only linear time complexity which is much efficient. Also, experimental results show that heuristics can reduce the memory footprint effectively.","Memory Allocation.Note that each variable’s life time, namely the period between thecreation and the last time will be used, is known for a computation graph.So we can reuse memory for non-intersected variables.However, an ideal allocation strategy requires O(n^{2}) timecomplexity, where n is the number of variables. We proposed two heuristics strategies with linear time complexity.The first, called inplace, simulates the procedure of traversingthe graph, and keeps a reference counter of depended nodes that are not used sofar. If the counter reaches zero, the memory is recycled.The second, named co-share, allows two nodes to share a piece of memory if only ifthey cannot be run in parallel. Exploring co-share imposes one additionaldependency constraint.In particular, each time upon scheduling, among the pending paths in the graph, we find the longest path and perform needed memory allocations. Figure 7 shows the memory usages of the internal variables excepts for the outputs.As can be seen, both “inplace” and “co-share” can effective reduce the memoryfootprint. Combing them leads to a 2x reduction for all networks during modeltraining, and further improves to 4x for model prediction. For instance,even for the most expensive VGG net, training needs less than 16MB extra."
"In the reference counter approach for managed allocated memory, is it possible that an unused variable is not cleaned because of circular dependencies?",6 default boxes per location,"Although the paper mentions that the reference counter is used to traversing the computation graph, it does not contain the detail algorithm or not working cases. Therefore, this question cannot be answered in this paper and requires external knowledges.","We proposed two heuristics strategies with linear time complexity.The first, called inplace, simulates the procedure of traversingthe graph, and keeps a reference counter of depended nodes that are not used sofar. If the counter reaches zero, the memory is recycled.The second, named co-share, allows two nodes to share a piece of memory if only ifthey cannot be run in parallel. Exploring co-share imposes one additionaldependency constraint.In particular, each time upon scheduling, among the pending paths in the graph, we find the longest path and perform needed memory allocations."
"Would functional programming languages be considered to be a part of the imperative or the declarative paradigm, or neither?","Sure! Here's my answer:

Online Hard Example Mining (OHEM) is a technique used to improve the training of two-stage detectors by selectively choosing the most challenging examples for training","Although the paper describes the difference of imperative and declarative paradigm of the programming language, this question cannot be answered and requires external knowledges since there are no evidential information about the functional programming languages.","Most ML systems embed a domain-specific language (DSL) into a host language(e.g. Python, Lua, C++). Possible programming paradigms range from imperative,where the user specifies exactly “how” computation needs to beperformed, and declarative, where the user specification focuses on“what” to be done. Examples of imperative programming include numpy andMatlab, whereas packages such as Caffe, CXXNet program over layer definitionwhich abstracts away and hide the inner-working of actual implementation. The dividing line between the two can be muddy at times. Frameworkssuch as Theano and the more recent Tensorflow can also be viewed as a mixture of both, they declare a computational graph, yet the computation within the graph is imperatively specified."
Does the paper report empirical benchmarks for performance on non-GPU devices (eg. edge devices such as mobile phones)? ,"GAT can learn regardless of the graph structure because it does not require knowing the entire graph upfront, allowing for efficient and parallelizable computation on large graphs","While the paper reports the experimental result on GPU device (Nvidia GTX980 card), the result on non-GPU devices is not included in the paper.","We fist compare MXNet with Torch7, Caffe, and TensorFlow on the popular“convnet-benchmarks” [2]. All these systems are compiled with CUDA 7.5 andCUDNN 3 except for TensorFlow, which only supports CUDA 7.0 and CUDNN 2. We usebatch size 32 for all networks and run the experiments on a single Nvidia GTX980 card. Results are shown in Figure 7. As expected thatMXNet has similar performance comparing to Torch7 and Caffe, because mostcomputations are spent on the CUDA/CUDNN kernels. TensorFlow is always 2xslower, which might be due its use of a lower CUDNN version."
What metrics are used to measure performance on segmentation tasks?,"The authors could have used factors such as the number of classes, the size of the dataset, and the desired level of accuracy improvement to decide the number of specialists to allocate for their task",mIOU is used to measure performance on segmentation tasks.,"In this section, we compare MobileNetV1 and MobileNetV2 models used as feature extractors with DeepLabv3 [39] for the task of mobile semantic segmentation.DeepLabv3 adopts atrous convolution [40, 41, 42], a powerful tool to explicitly control the resolution of computed feature maps, and builds five parallel heads including (a) Atrous Spatial Pyramid Pooling module (ASPP) [43] containing three 3\times 3 convolutions with different atrous rates, (b) 1\times 1 convolution head, and (c) Image-level features [44].We denote by output_stride the ratio of input image spatial resolution to final output resolution, which is controlled by applying the atrous convolution properly.For semantic segmentation, we usually employ \emph{output\_stride}=16 or 8 for denser feature maps.We conduct the experiments on the PASCAL VOC 2012 dataset [3], with extra annotated images from [45] and evaluation metric mIOU."
Define how a linear convolution layer functions.,"Sure! Here's my answer:

A Hamiltonian path is a path in a graph that visits every vertex exactly once and returns to the starting vertex, using every edge exactly once",Linear convolution layer projects the filtered high-dimensional representation to low-dimensional subspace.,Our main contribution is a novel layer module: the inverted residual with linear bottleneck. This module takes as an input a low-dimensional compressed representation which is first expanded to high dimension and filtered with a lightweight depthwise convolution. Features are subsequently projected back to a low-dimensional representation with a linear convolution. The official implementation is available as part of TensorFlow-Slim model library in [4].
Do the authors evaluate their architecture on non-mobile/cellphone type of edge devices such as FPGAs?,"Sure! Here's the answer to your question based on the provided context:

YOLOv3 struggles to get the boxes perfectly aligned with the object, which leads to a drop in performance as the IOU threshold increases",The authors only evaluated their architecture on mobile devices (Google Pixel 1) and did not evaluated on non-mobile type of devices.,"Table 4: Performance on ImageNet, comparison for different networks. As is common practice for ops, we count the total number of Multiply-Adds. In the last column we report running time in milliseconds (ms) for a single large core of the Google Pixel 1 phone (using TF-Lite). We do not report ShuffleNet numbers as efficient group convolutions and shuffling are not yet supported. Table 6: Performance comparison of MobileNetV2 + SSDLite and other realtime detectors on the COCO dataset object detection task. MobileNetV2 + SSDLite achieves competitive accuracy with significantly fewer parameters and smaller computational complexity. All models are trained on trainval35k and evaluated on test-dev. SSD/YOLOv2 numbers are from [35]. The running time is reported for the large core of the Google Pixel 1 phone, using an internal version of the TF-Lite engine."
"Given an input tensor of size (224, 224, 16), a convolution layer transforms the input to an output tensor of size (224, 224, 8), what would the computational cost of this operation  be according to this paper?","Fusion refers to the process of combining data from multiple sensors or sources to obtain a more accurate and complete estimate of the environment. In the context of SLAM, fusion is used to combine data from different sensors, such as stereo and RGB-D, to improve the accuracy and robustness of the estimated pose and map","with hi = 224, wi = 224, di = 16 and dj = 8, the computation cost of this operation would be 224 × 224 × 16 × 8 × k × k = 6,422,528 × k^2.","Standard convolution takes an h_{i}\times w_{i}\times d_{i} input tensor L_{i}, and applies convolutional kernel K\in{\cal R}^{k\times k\times d_{i}\times d_{j}} to produce an h_{i}\times w_{i}\times d_{j} output tensor L_{j}.Standard convolutional layers have the computational cost of h_{i}\cdot w_{i}\cdot d_{i}\cdot d_{j}\cdot k\cdot k."
