question,answer,correct_answer,context
"According to the authors, the VGG-16 version of Faster R-CNN is 6 time slower than YOLO, what is the actual speed of the model ?",Distillation is a knowledge transfer technique for deep networks that enables training from large unlabeled datasets by emulating the outputs of a larger model. It is used to reduce the size of a large face attribute classifier with unknown or esoteric training procedures,"Table 1 reveals that the actual speed of Faster R-CNN with VGG-16 is 7fps with 73.2% mAP. At the same time, YOLO has more than 6 times the higher speed of 45 fps with 63.4% mAP on Pascal VOC 2007.","The recent Faster R-CNN replaces selective search with a neural network to propose bounding boxes, similar to Szegedy et al. [8] In our tests, their most accurate model achieves 7 fps while a smaller, less accurate one runs at 18 fps. The VGG-16 version of Faster R-CNN is 10 mAP higher but is also 6 times slower than YOLO. The Zeiler-Fergus Faster R-CNN is only 2.5 times slower than YOLO but is also less accurate. Table 1: Real-Time Systems on PASCAL VOC 2007. Compar-"
What motivated the authors to choose the Pascal VOC 2007 dataset to compare YOLO with other models ?,The authors optimized $\lambda_s$ and $\lambda_e$ using grid search,"Although the paper does not give explicit reasons why Pascal VOC 2007 dataset was chosen for comparison, we can make an educated guess. It seems like Pascal VOC 2007 is one of the popular datasets for object detection. Also, many other existing methods had been evaluated on it, including Fast R-CNN models (the detections are also publicly available for Fast R-CNN). Additionally, the paper uses VOC 2012 and some other datasets for comparison too.","First we compare YOLO with other real-time detection systems on Pascal VOC 2007. To understand the differences between YOLO and R-CNN variants we explore the errors on VOC 2007 made by YOLO and Fast R-CNN, one of the highest performing versions of R-CNN [14]. Based on the different error profiles we show that YOLO can be used to rescore Fast R-CNN detections and reduce the errors from background false positives, giving a significant performance boost. We also present VOC 2012 results and compare mAP to current state-of-the-art methods. Finally, we show that YOLO generalizes to new domains better than other detectors on two artwork datasets. To further examine the differences between YOLO and state-of-the-art detectors, we look at a detailed breakdown of results on VOC 2007. We compare YOLO to Fast R-CNN since Fast R-CNN is one of the highest performing detectors on Pascal and it’s detections are publicly available."
Why was the IOU metric used and not other segmentation metrics such as the Dice coefficient?,"Sure! Here's the answer to your question based on the provided context:

ρ=0.313","The paper does not include explicit discussion regarding using the IOU metric or Dice coefficient, so it is difficult to answer the question just by the information in the paper. In general, the IOU method is used for object detection, while the Dice coefficient is used for image segmentation.","•Correct: correct class and \textrm{IOU}>.5•Localization: correct class, .1<\textrm{IOU}<.5•Similar: class is similar, \textrm{IOU}>.1•Other: class is wrong, \textrm{IOU}>.1•Background: \textrm{IOU}<.1 for any object We use the methodology and tools of Hoiem et al. [19]"
"Yolo makes different kinds of mistakes, but it is still really accurate, wouldn't that play against it when using it to boost Fast R-CNN ?","By directly incorporating the target latency into the loss function during the search process, the proposed NAS method can find a baseline network that is optimized for both accuracy and latency on a specific NPU. Additionally, the post-processing step that adds SE blocks and h-swish activation functions can further improve the accuracy of the model while maintaining the latency","Due to YOLO's architecture, it can handle the background objects better as it has a larger context (it processes the entire image end-to-end) when predicting bounding boxes compared to other models. However, YOLO struggles with localizing objects, especially small ones. On the other hand, Fast R-CNN can localize objects much better, but it has 3 times more problems (13.6%) with background errors compared to YOLO's 4.75%. Thus, assisting the best Fast R-CNN model with YOLO can give a 3.2% boost of accuracy (71.8% to 75%), because it can handle the background objects better.","First we compare YOLO with other real-time detection systems on Pascal VOC 2007. To understand the differences between YOLO and R-CNN variants we explore the errors on VOC 2007 made by YOLO and Fast R-CNN, one of the highest performing versions of R-CNN [14]. Based on the different error profiles we show that YOLO can be used to rescore Fast R-CNN detections and reduce the errors from background false positives, giving a significant performance boost. We also present VOC 2012 results and compare mAP to current state-of-the-art methods. Finally, we show that YOLO generalizes to new domains better than other detectors on two artwork datasets. Second, YOLO reasons globally about the image when making predictions. Unlike sliding window and region proposal-based techniques, YOLO sees the entire image during training and test time so it implicitly encodes contextual information about classes as well as their appearance. Fast R-CNN, a top detection method [14], mistakes background patches in an image for objects because it can’t see the larger context. YOLO makes less than half the number of background errors compared to Fast R-CNN. YOLO struggles to localize objects correctly. Localization errors account for more of YOLO’s errors than all other sources combined. Fast R-CNN makes much fewer localization errors but far more background errors. 13.6% of it’s top detections are false positives that don’t contain any objects. Fast R-CNN is almost 3x more likely to predict background detections than YOLO. YOLO makes far fewer background mistakes than Fast R-CNN. By using YOLO to eliminate background detections from Fast R-CNN we get a significant boost in performance. For every bounding box that R-CNN predicts we check to see if YOLO predicts a similar box. If it does, we give that prediction a boost based on the probability predicted by YOLO and the overlap between the two boxes. The boost from YOLO is not simply a byproduct of model ensembling since there is little benefit from combining different versions of Fast R-CNN. Rather, it is precisely because YOLO makes different kinds of mistakes at test time that it is so effective at boosting Fast R-CNN’s performance. YOLO still lags behind state-of-the-art detection systems in accuracy. While it can quickly identify objects in images it struggles to precisely localize some objects, especially small ones. We examine these tradeoffs further in our experiments. The best Fast R-CNN model achieves a mAP of 71.8%"
Why does YOLO struggle in localizing objects correctly ?,"The authors' approach differs from these two categories by using end-to-end learning, which is not present in the two categories","Although YOLO is a really fast model, it usually struggles with localizing small objects in a group or objects near each other. In fact, localization errors take up more than half of all YOLO's errors. It happens because YOLO has only a limited number of bounding boxes per grid cell and the loss function penalizes the errors in the large and small bounding boxes the same. On top of that, the model uses coarse features to predict bounding boxes, and it may have problems with unusual aspect ratios and configurations of objects.","YOLO imposes strong spatial constraints on bounding box predictions since each grid cell only predicts two boxes and can only have one class. This spatial constraint limits the number of nearby objects that our model can predict. Our model struggles with small objects that appear in groups, such as flocks of birds. YOLO shares some similarities with R-CNN. Each grid cell proposes potential bounding boxes and scores those boxes using convolutional features. However, our system puts spatial constraints on the grid cell proposals which helps mitigate multiple detections of the same object. Our system also proposes far fewer bounding boxes, only 98 per image compared to about 2000 from Selective Search. Finally, our system combines these individual components into a single, jointly optimized model. YOLO struggles to localize objects correctly. Localization errors account for more of YOLO’s errors than all other sources combined. Fast R-CNN makes much fewer localization errors but far more background errors. 13.6% of it’s top detections are false positives that don’t contain any objects. Fast R-CNN is almost 3x more likely to predict background detections than YOLO. On the VOC 2012 test set, YOLO scores 57.9% mAP. This is lower than the current state of the art, closer to the original R-CNN using VGG-16, see Table 3. Our system struggles with small objects compared to its closest competitors. On categories like bottle, sheep, and tv/monitor YOLO scores 8-10% lower than R-CNN or Feature Edit. However, on other categories like cat and train YOLO achieves higher performance. YOLO still lags behind state-of-the-art detection systems in accuracy. While it can quickly identify objects in images it struggles to precisely localize some objects, especially small ones. We examine these tradeoffs further in our experiments. Since our model learns to predict bounding boxes from data, it struggles to generalize to objects in new or unusual aspect ratios or configurations. Our model also uses relatively coarse features for predicting bounding boxes since our architecture has multiple downsampling layers from the input image. Finally, while we train on a loss function that approximates detection performance, our loss function treats errors the same in small bounding boxes versus large bounding boxes. A small error in a large box is generally benign but a small error in a small box has a much greater effect on IOU. Our main source of error is incorrect localizations."
Why did the authors chose to train YOLO using VGG-16 and not other neural network architecture ?,5 years,"In fact, the base YOLO model and Fast YOLO have used GoogLeNet-inspired architecture to VGG-16. The authors claim that they have trained it with VGG-16 and it had better accuracy, however, it was too slow to be real-time. The YOLO model is first pretrained on the ImageNet 1000-class competition dataset and later trained on training and validation data of the Pascal VOC 2007 dataset.","We also train YOLO using VGG-16. This model is more accurate but also significantly slower than YOLO. It is useful for comparison to other detection systems that rely on VGG-16 but since it is slower than real-time the rest of the paper focuses on our faster models. Our network architecture is inspired by the GoogLeNet model for image classification [34]. Our network has 24 convolutional layers followed by 2 fully connected layers. Instead of the inception modules used by GoogLeNet, we simply use 1 × 1 reduction layers followed by 3 × 3 convolutional layers, similar to Lin et al [22]. The full network is shown in Figure 3. We pretrain our convolutional layers on the ImageNet 1000-class competition dataset [30]. For pretraining we use the first 20 convolutional layers from Figure 3 followed by a average-pooling layer and a fully connected layer. We train this network for approximately a week and achieve a single crop top-5 accuracy of 88% on the ImageNet 2012 validation set, comparable to the GoogLeNet models in Caffe’s Model Zoo [24]. We use the Darknet framework for all training and inference [26]. We train the network for about 135 epochs on the training and validation data sets from PASCAL VOC 2007 and 2012. When testing on 2012 we also include the VOC 2007 test data for training. Throughout training we use a batch size of 64, a momentum of 0.9 and a decay of 0.0005."
Why does Yolo outperform R-CNN in other categories such as cat and train ?,No,"The paper does not specifically discuss why YOLO is better for cat and train categories in VOC 2012 dataset and worse for the bottle, sheep, and tv/monitor. Thus, it is difficult to answer this question with only the contents of the paper.","Second, YOLO reasons globally about the image when making predictions. Unlike sliding window and region proposal-based techniques, YOLO sees the entire image during training and test time so it implicitly encodes contextual information about classes as well as their appearance. Fast R-CNN, a top detection method [14], mistakes background patches in an image for objects because it can’t see the larger context. YOLO makes less than half the number of background errors compared to Fast R-CNN. On the VOC 2012 test set, YOLO scores 57.9% mAP. This is lower than the current state of the art, closer to the original R-CNN using VGG-16, see Table 3. Our system struggles with small objects compared to its closest competitors. On categories like bottle, sheep, and tv/monitor YOLO scores 8-10% lower than R-CNN or Feature Edit. However, on other categories like cat and train YOLO achieves higher performance. Third, YOLO learns generalizable representations of objects. When trained on natural images and tested on artwork, YOLO outperforms top detection methods like DPM and R-CNN by a wide margin. Since YOLO is highly generalizable it is less likely to break down when applied to new domains or unexpected inputs. Table 3: PASCAL VOC 2012 Leaderboard. YOLO compared with the full comp4 (outside data allowed) public leaderboard as of"
"What is ""“Vector of Locally Aggregated Descriptors” image representation ?",No,"“Vector of Locally Aggregated Descriptors” image representation is a compact representation of an image created by the VLAD technique which is a popular descriptor pooling method that can extract statistical information of the local descriptors aggregated over the image. IT calculates the difference between the feature vectors of an image and a set of learned reference vectors, then summing up these differences to create the image representation vector.","Vector of Locally Aggregated Descriptors (VLAD) [29]is a popular descriptor pooling method for both instance level retrieval [29] and image classification [22].It captures information about the statisticsof local descriptors aggregated over the image. Whereas bag-of-visual-words [14, 74] aggregation keeps countsof visual words, VLAD stores the sum of residuals (difference vector betweenthe descriptor and its corresponding cluster centre) for each visual word. Formally, given N D-dimensional local image descriptors \{\mathchoice{\mbox{\boldmath$\displaystyle\bf x$}}{\mbox{\boldmath$\textstyle\bf x$}}{\mbox{\boldmath$\scriptstyle\bf x$}}{\mbox{\boldmath$\scriptscriptstyle\bf x$}}_{i}\} as input,and K cluster centres (“visual words”) \{\mathchoice{\mbox{\boldmath$\displaystyle\bf c$}}{\mbox{\boldmath$\textstyle\bf c$}}{\mbox{\boldmath$\scriptstyle\bf c$}}{\mbox{\boldmath$\scriptscriptstyle\bf c$}}_{k}\} as VLAD parameters,the output VLAD image representation V is K\times D-dimensional.For convenience we will write V as a K\times D matrix, but this matrixis converted into a vector and, after normalization, used asthe image representation. The (j,k) element of V is computedas follows:V(j,k)=\sum_{i=1}^{N}a_{k}(\mathchoice{\mbox{\boldmath$\displaystyle\bf x$}}{\mbox{\boldmath$\textstyle\bf x$}}{\mbox{\boldmath$\scriptstyle\bf x$}}{\mbox{\boldmath$\scriptscriptstyle\bf x$}}_{i})\left(x_{i}(j)-c_{k}(j)\right),(1)where x_{i}(j) and c_{k}(j) are the j-th dimensions of the i-th descriptor and k-th cluster centre, respectively.a_{k}(\mathchoice{\mbox{\boldmath$\displaystyle\bf x$}}{\mbox{\boldmath$\textstyle\bf x$}}{\mbox{\boldmath$\scriptstyle\bf x$}}{\mbox{\boldmath$\scriptscriptstyle\bf x$}}_{i}) denotes the membership ofthe descriptor \mathchoice{\mbox{\boldmath$\displaystyle\bf x$}}{\mbox{\boldmath$\textstyle\bf x$}}{\mbox{\boldmath$\scriptstyle\bf x$}}{\mbox{\boldmath$\scriptscriptstyle\bf x$}}_{i} to k-th visual word, i.e. it is 1 if cluster \mathchoice{\mbox{\boldmath$\displaystyle\bf c$}}{\mbox{\boldmath$\textstyle\bf c$}}{\mbox{\boldmath$\scriptstyle\bf c$}}{\mbox{\boldmath$\scriptscriptstyle\bf c$}}_{k}is the closest cluster to descriptor \mathchoice{\mbox{\boldmath$\displaystyle\bf x$}}{\mbox{\boldmath$\textstyle\bf x$}}{\mbox{\boldmath$\scriptstyle\bf x$}}{\mbox{\boldmath$\scriptscriptstyle\bf x$}}_{i} and 0 otherwise.Intuitively, each D-dimensional column k of V records the sum ofresiduals (\mathchoice{\mbox{\boldmath$\displaystyle\bf x$}}{\mbox{\boldmath$\textstyle\bf x$}}{\mbox{\boldmath$\scriptstyle\bf x$}}{\mbox{\boldmath$\scriptscriptstyle\bf x$}}_{i}-\mathchoice{\mbox{\boldmath$\displaystyle\bf c$}}{\mbox{\boldmath$\textstyle\bf c$}}{\mbox{\boldmath$\scriptstyle\bf c$}}{\mbox{\boldmath$\scriptscriptstyle\bf c$}}_{k}) of descriptors which are assigned to cluster \mathchoice{\mbox{\boldmath$\displaystyle\bf c$}}{\mbox{\boldmath$\textstyle\bf c$}}{\mbox{\boldmath$\scriptstyle\bf c$}}{\mbox{\boldmath$\scriptscriptstyle\bf c$}}_{k}.The matrix V is then L2-normalized column-wise(intra-normalization [3]),converted into a vector,and finally L2-normalized in its entirety [29]."
"To obtain the final compact descriptor of the image, why did the authors use PCA instead of other compression algorithms?.","Performing a self-attention mechanism on a graph can be useful in node classification by allowing the model to focus on the most relevant neighbors of each node, capture complex contextual relationships between nodes, and generalize to unseen graphs","Maybe authors found that PCA is  computationally less expensive and much memory and time saving in experiments than other methods. PCA is used to reduce the dimensions of the descriptor to 4096 learnt on the training set, which is discovered experimentally to help in achieving state-of-the-art results on the challenging Tokyo 24/7 dataset as comparisons show that the lower dimensional fVLAD performs similarly to the full size vector.","Furthermore we compare our CNN representations trained for place recognitionagainst the state-of-the-art local feature based compact descriptor, which consists ofVLAD pooling [29] with intra-normalization [3]on top of densely extracted RootSIFTs [43, 2].The descriptor is optionally reduced to 4096 dimensions usingPCA (learnt on the training set) combined with whitening and L2-normalization [25];this setup together with view synthesis yields the state-of-the-art results on the challenging Tokyo 24/7 dataset(c.f. [80]). We follow the standard state-of-the-art procedure to perform dimensionalityreduction of VLAD, as described earlier,i.e. the reduction into 4096-D is performed usingPCA with whitening followed by L2-normalization [25, 80].Figure 5 shows that the lower dimensional f_{VLAD} (-\ast-)performssimilarly to the full size vector (-o-)."
"What is the number of images in the dataset, that is gathered by the authors to train the architecture for place recognition?","The authors choose to extend Single-Path NAS as the search strategy instead of famous NAS methods like MNASNet because Single-Path NAS is more efficient in terms of search time and memory requirements, making it more suitable for NPU-aware NAS techniques","They used Weak Supervision as a solution for the lack of labelled data. They gather a large dataset of multiple panoramic images depicting the same place from different viewpoints over time from the Google Street View Time Machine which is of weak supervision. They depended on Pitts250k which contains 250k database images downloaded from Google Street View and 24k test queries generated from Street View but taken at different times, years apart.
Also Using Tokyo 24/7 that contains 76k database images and 315 query images taken using mobile phone cameras. TokyoTM; Tokyo 24/7 (=test) and TokyoTM train/val are all geographically disjoint (Paper didn't mention the total number of images explicitly, it's some kind vague).","contains 250kdatabase images downloaded from Google Street Viewand 24k test queries generated from Street View but taken at differenttimes, years apart.We divide this dataset into three roughly equal partsfor training, validation and testing,each containing around 83kdatabase images and 8k queries,where the division was done geographically to ensure the sets containindependent images.To facilitate faster training, for some experiments,a smaller subset (Pitts30k) is used, containing 10k database imagesin each of the train/val(idation)/test sets, which arealso geographically disjoint. contains 76k database images and315 query images taken using mobile phone cameras.This is an extremely challenging dataset where the queries were taken at daytime, sunset and night, while the databaseimages were only taken at daytime as they originate from Google Street Viewas described above.To form the train/val sets we collectedadditional Google Street View panoramas of Tokyo using theTime Machine feature, and name this set TokyoTM;Tokyo 24/7 (=test) andTokyoTM train/val are all geographically disjoint.Further details on the splits are given in appendix B. Second, to train the architecture for place recognition, we gather a large dataset of multiple panoramic images depicting the same place from different viewpoints over time from the Google Street View Time Machine. Such data is available for vast areas of the world, but provides only weak form of supervision: we know the two panoramas are captured at approximately similar positions based on their (noisy) GPS but we don’t know which parts of the panoramas depict the same parts of the scene."
"All the relevant learning-based approaches fall into one or both of the following two categories: (i) learning for an auxiliary task , and (ii) learning on top of shallow hand-engineered descriptors that cannot be fine-tuned for the target task. How does the authors' approach differs from these two categories?",Normalizing the features and weights in the softmax loss function improves the performance of deep face recognition systems by reducing the impact of outliers and improving the generalization of the model,"Authors see that both approaches are
end-to-end learning. Their approach -NetVLAD, shows that training representations directly for the end-task, place recognition, is crucial for obtaining good performance. Representations trained on the end-task of place recognition consistently outperform by a large margin off-the- shelf CNNs on benchmarks illustrating there approach can learn rich yet compact image representations for place recognition and that the popular idea of using pretrained networks “off-the-shelf” is sub-optimal as the networks trained for object or scene classification are not necessary suitable for the end-task of place recognition.","While there have been many improvements in designing betterimage retrieval [2, 3, 12, 11, 17, 26, 27, 29, 25, 32, 48, 51, 52, 53, 54, 71, 78, 79, 82] and place recognition [4, 10, 15, 16, 24, 9, 35, 46, 44, 64, 65, 63, 75, 81, 80] systems, not many works have performedlearning for these tasks.All relevant learning-based approaches fall into one or both of the followingtwo categories:(i) learning for an auxiliary task (e.g. some form of distinctiveness of local features [4, 15, 30, 35, 58, 59, 90]), and (ii) learning on top of shallow hand-engineered descriptors that cannot be fine-tuned for the target task [2, 24, 9, 35, 57]. Both of these are in spirit opposite to the core idea behinddeep learning that has provided a major boost in performance in variousrecognition tasks: end-to-end learning. We will indeed show insection 5.2 that training representations directly for the end-task,place recognition, is crucial for obtaining good performance."
What is the relative improvement achieved by authors over the other benchmaeks for image retrieval?,The algorithm infers amplitude and phase in the case of showing only half of the input range by learning to model the periodic nature of the sine wave,"Their architecture managed to improve over current state-of-the-art compact image representations on standard image retrieval benchmarks by large margin on available datasets, obtaining an mAP of 63.5%, 73.5% and 79.9% on Oxford 5k, Paris 6k, Holidays, respectively; which is a +20% relative improvement on Oxford 5k. Their proposed representations learnt end-to-end, outperformed the pretrained image representations and off-the-shelf CNN descriptors.","We use our best performing network (VGG-16, f_{VLAD} with whitening down to 256-D)trained completely on Pittsburgh, to extract image representationsfor standard object and image retrieval benchmarks.Our representation sets the state-of-the-art for compact image representations (256-D)by a large margin on all three datasets, obtaining an mAP of63.5%, 73.5% and 79.9% onOxford 5k [53], Paris 6k [54], Holidays [26], respectively;for example, this is a +20% relative improvement on Oxford 5k.Appendix Ccontains more detailed results. We show that the proposed architecture significantly outperforms non-learnt image representations and off-the-shelf CNN descriptors on two challenging place recognition benchmarks, and improves over current state-of-the-art compact image representations on standard image retrieval benchmarks."
"The output VLAD image representation matrix is converted into a vector and, after normalization, used as the image representation. What is the normalization method used by authors?","SPPnet addresses the drawback of R-CNN by sharing computation, reducing the number of ConvNet forward passes required for each object proposal, resulting in 10 to 100 times faster test time and 3 times faster training time","L2-norm for each column of the representation matrix, converted into a vector, and finally L2-normalized over the new vector.","Formally, given N D-dimensional local image descriptors \{\mathchoice{\mbox{\boldmath$\displaystyle\bf x$}}{\mbox{\boldmath$\textstyle\bf x$}}{\mbox{\boldmath$\scriptstyle\bf x$}}{\mbox{\boldmath$\scriptscriptstyle\bf x$}}_{i}\} as input,and K cluster centres (“visual words”) \{\mathchoice{\mbox{\boldmath$\displaystyle\bf c$}}{\mbox{\boldmath$\textstyle\bf c$}}{\mbox{\boldmath$\scriptstyle\bf c$}}{\mbox{\boldmath$\scriptscriptstyle\bf c$}}_{k}\} as VLAD parameters,the output VLAD image representation V is K\times D-dimensional.For convenience we will write V as a K\times D matrix, but this matrixis converted into a vector and, after normalization, used asthe image representation. The (j,k) element of V is computedas follows:V(j,k)=\sum_{i=1}^{N}a_{k}(\mathchoice{\mbox{\boldmath$\displaystyle\bf x$}}{\mbox{\boldmath$\textstyle\bf x$}}{\mbox{\boldmath$\scriptstyle\bf x$}}{\mbox{\boldmath$\scriptscriptstyle\bf x$}}_{i})\left(x_{i}(j)-c_{k}(j)\right),(1)where x_{i}(j) and c_{k}(j) are the j-th dimensions of the i-th descriptor and k-th cluster centre, respectively.a_{k}(\mathchoice{\mbox{\boldmath$\displaystyle\bf x$}}{\mbox{\boldmath$\textstyle\bf x$}}{\mbox{\boldmath$\scriptstyle\bf x$}}{\mbox{\boldmath$\scriptscriptstyle\bf x$}}_{i}) denotes the membership ofthe descriptor \mathchoice{\mbox{\boldmath$\displaystyle\bf x$}}{\mbox{\boldmath$\textstyle\bf x$}}{\mbox{\boldmath$\scriptstyle\bf x$}}{\mbox{\boldmath$\scriptscriptstyle\bf x$}}_{i} to k-th visual word, i.e. it is 1 if cluster \mathchoice{\mbox{\boldmath$\displaystyle\bf c$}}{\mbox{\boldmath$\textstyle\bf c$}}{\mbox{\boldmath$\scriptstyle\bf c$}}{\mbox{\boldmath$\scriptscriptstyle\bf c$}}_{k}is the closest cluster to descriptor \mathchoice{\mbox{\boldmath$\displaystyle\bf x$}}{\mbox{\boldmath$\textstyle\bf x$}}{\mbox{\boldmath$\scriptstyle\bf x$}}{\mbox{\boldmath$\scriptscriptstyle\bf x$}}_{i} and 0 otherwise.Intuitively, each D-dimensional column k of V records the sum ofresiduals (\mathchoice{\mbox{\boldmath$\displaystyle\bf x$}}{\mbox{\boldmath$\textstyle\bf x$}}{\mbox{\boldmath$\scriptstyle\bf x$}}{\mbox{\boldmath$\scriptscriptstyle\bf x$}}_{i}-\mathchoice{\mbox{\boldmath$\displaystyle\bf c$}}{\mbox{\boldmath$\textstyle\bf c$}}{\mbox{\boldmath$\scriptstyle\bf c$}}{\mbox{\boldmath$\scriptscriptstyle\bf c$}}_{k}) of descriptors which are assigned to cluster \mathchoice{\mbox{\boldmath$\displaystyle\bf c$}}{\mbox{\boldmath$\textstyle\bf c$}}{\mbox{\boldmath$\scriptstyle\bf c$}}{\mbox{\boldmath$\scriptscriptstyle\bf c$}}_{k}.The matrix V is then L2-normalized column-wise(intra-normalization [3]),converted into a vector,and finally L2-normalized in its entirety [29]."
