question,iris_answer,correct_answer,context
How can author said that their results illustrate the importance of previously overlooked design decisions on BERT?,"By achieving state-of-the-art results on several benchmarks without using multi-task finetuning or additional data, the author's results demonstrate the significance of the design decisions they made, which were previously overlooked in BERT's pretraining procedure","They could say that the importance of previously overlooked design decisions on BERT, because they improved the performance significantly by training the model longer, with bigger batches over more data; removing the next sentence prediction objective; training on longer sequences; and dynamically changing the masking pattern applied to the training data.","We carefully evaluate a number of design decisions when pretraining BERT models.We find that performance can be substantially improved by training the model longer, with bigger batches over more data; removing the next sentence prediction objective; training on longer sequences; and dynamically changing the masking pattern applied to the training data.Our improved pretraining procedure, which we call RoBERTa, achieves state-of-the-art results on GLUE, RACE and SQuAD, without multi-task finetuning for GLUE or additional data for SQuAD.These results illustrate the importance of these previously overlooked design decisions and suggest that BERT’s pretraining objective remains competitive with recently proposed alternatives."
Why author said that it can be challenging to determine which aspects of the methods contribute the most?,"Sure! Here's the answer to the question based on the provided context:

Limited tuning and private training data","It is challenging to determine which aspects of the methods contribute the most since training is computationally expensive, limiting the amount of tuning that can be done, and is often done with private training data of varying sizes, limiting our ability to measure the effects of the modeling advances.","Self-training methods such as ELMo Peters et al. (2018), GPT Radford et al. (2018), BERT Devlin et al. (2019), XLM Lample and Conneau (2019), and XLNet Yang et al. (2019) have brought significant performance gains, but it can be challenging to determine which aspects of the methods contribute the most. Training is computationally expensive, limiting the amount of tuning that can be done, and is often done with private training data of varying sizes, limiting our ability to measure the effects of the modeling advances."
Explain the author’s motivation to make CC-News dataset.,"Sure! Here's the answer to the question at the end of the context:

The author's motivation to create the CC-News dataset is to gather as much data as possible for experimentation, in order to match the overall quality and quantity of data used in other studies that have trained on larger and more diverse datasets than the original BERT",The motivation of making CC-News dataset is most additional datasets in previous works are not available.,"BERT-style pretraining crucially relies on large quantities of text. Baevski et al. (2019) demonstrate that increasing data size can result in improved end-task performance. Several efforts have trained on datasets larger and more diverse than the original BERT Radford et al. (2019); Yang et al. (2019); Zellers et al. (2019).Unfortunately, not all of the additional datasets can be publicly released. For our study, we focus on gathering as much data as possible for experimentation, allowing us to match the overall quality and quantity of data as appropriate for each comparison."
"Does RoBERTa also takes as input a concatenation of two segments, as well as BERT did?",No,"RoBERTa takes concatenated four sequence ,candidate answer with the corresponding question and passage, input not like BERT.","We modify RoBERTa for this task by concatenating each candidate answer with the corresponding question and passage.We then encode each of these four sequences and pass the resulting [CLS] representations through a fully-connected layer, which is used to predict the correct answer.We truncate question-answer pairs that are longer than 128 tokens and, if needed, the passage so that the total length is at most 512 tokens."
BERT originally trained with a batch size of 256 sequences and RoBERTa simply followed that. Is this true? ,No,"No, they used bigger batch size than BERT.","We present a replication study of BERT pretraining Devlin et al. (2019), which includes a careful evaluation of the effects of hyperparmeter tuning and training set size. We find that BERT was significantly undertrained and propose an improved recipe for training BERT models, which we call RoBERTa, that can match or exceed the performance of all of the post-BERT methods.Our modifications are simple, they include: (1) training the model longer, with bigger batches, over more data; (2) removing the next sentence prediction objective; (3) training on longer sequences; and (4) dynamically changing the masking pattern applied to the training data. We also collect a large new dataset (CC-News) of comparable size to other privately used datasets, to better control for training set size effects."
Why does zero-shot evaluation has been suggested as a genuine measure for reasoning capability?,"Zero-shot evaluation has been suggested as a genuine measure for reasoning capability because existing datasets only test individual aspects of commonsense reasoning, and large-scale neural systems have been criticized for solving these datasets rather than learning general semantic reasoning",It is hard to measure reasoning capability using individual datasets because the model cannot learn how to perform general semantic reasoning.,"The ability to understand natural language through commonsense reasoning is one of the core focuses in the field of natural language processing. To measure and study the different aspects of commonsense reasoning, several datasets are developed, such as SocialIQA (Sap et al., 2019b), CommonsenseQA (Talmor et al., 2018), and PhysicalIQA (Bisk et al., 2020), each requiring different type of commonsense knowledge (e.g., social, taxonomic, causal, declarative, etc) to select the correct answer. While large-scale neural systems (Devlin et al., 2018; Yang et al., 2019; Liu et al., 2019b) have shown human-level accuracy on these benchmarks, recent studies (Mitra et al., 2019) also criticize that these models solve individual datasets, rather than learning how to perform general semantic reasoning. To this end, Ma et al. (2021) suggested zero-shot evaluation as a genuine measure for the reasoning capability of the machine."
What is AdapterFusion?,"AdapterFusion is a method for fusing task-specific parameters (adapters) trained independently for each task in a non-destructive manner, mitigating issues such as forgetting and interference between tasks",AdapterFusion is one of the multi-task learning method based on attention-like mechanism. It aggregates pre-trained adapters in a non-destructive manner mitigating catastrophic forgetting and interference between tasks.,"To address these limitations, we propose a novel, modularized framework that aims to learn multiple expert models for KGs, then conduct zero-shot fusion to allow collaboration among KGs. For this purpose, we leverage AdapterFusion (Pfeiffer et al., 2021) where multiple tiny modules between Transformer blocks called adapters (Houlsby et al., 2019) can be combined after independent training, thus allowing a continual integration of the adapters without retraining the entire framework. Specifically, we treat the adapters as different KG-specific experts, and combine them using an attention-like fusion module. To improve the fusion of adapters, we suggest a KG-alignment adapter that guides to the apt expert adapters. Here, we use KGs in three different synthetic supervision training: (1) KG-specific QA datasets to train the KG-specific expert adapters, (2) a KG classification datasets to train the KG-alignment adapter, and (3) a balanced mixture of KG-specific QA datasets to train the fusion module. Our modularized method alleviates the interference between different KGs, which is the pitfall of MTL from our empirical observation, and thus combines multiple KGs into a synergetic zero-shot framework. To address this problem, AdapterFusion (Pfeiffer et al., 2021) has been proposed to fuse task specific parameters called adapters for the given target task leveraging attention-like mechanism. AdapterFusion aggregates adapters, which is trained independently for each task, in a non-destructive manner mitigating aforementioned MTL problems such as forgetting and interference between tasks. Recently, it has been used for zero-shot cross-lingual transfer framework (Pfeiffer et al., 2020c; Wang et al., 2021b), which motivates our work to transfer multi-source knowledge with less interference for zero-shot commonsense reasoning."
How do the authors generate synthetic QA?,"Sure! Here's the answer to your question based on the provided context:

The authors generate synthetic QA by transforming entities and relations in a knowledge graph (KG) into natural language questions using templates, and then combining the correct answer with distractors from other triples sampled randomly","They generate syntheticQS by transforming a triplet of KG into question and answer pair. Specifically, they transform the head entity and relation into question and tail entity into an answer using templates.","In our setup, we repurpose synthetic QA generation (Ma et al., 2021) for the task of knowledge-driven zero-shot learning for commonsense reasoning, i.e., we transform a KG into multiple (Q_{i},A_{i}) pairs where Q_{i} is a natural language question and A_{i}=\{A_{i,1},...,A_{i,m}\} is the set of options with m answer candidates. Specifically, given a triple (e^{head},r,e^{tail}) in a KG, where e^{head}, e^{tail} and r denote head/tail entity and relation respectively, we transform e^{head} and r into a natural language question Q_{i} using templates. For the option set A_{i}, we use the combination of the correct answer e^{tail} and m-1 distractors which are tail entities from other triples sampled randomly (Ma et al., 2021). Details are described in Appendix B."
What is the main weak point of conventional Multi-task learning for zero-shot learning with multiple types of commonsense knowledge? ,interference among different knowledge graphs (KGs) leading to forgetting previously learned knowledge when training on new KGs,"Conventional Multi-Task Learning (MTL) is known to be prone to interference between various tasks, as well as a phenomenon known as catastrophic forgetting, wherein the model struggles to retain knowledge of different types acquired during MTL.","To consider different types of reasoning, this paper extends ideas from the aforementioned zero-shot learning to the multi-source case such that it benefits from different types of commonsense knowledge on individual KGs. For example, ATOMIC (Sap et al., 2019a) focuses on social commonsense while ConceptNet (Speer et al., 2017) contains conceptual knowledge. A practical approach is multi-task learning (MTL; Caruana, 1997; Liu et al., 2019a), which learns a shared encoder for different synthetic QA datasets from multiple KGs. Despite its effectiveness, MTL scheme suffers from interference among different KGs, which results in forgetting previously learned knowledge when trained on new KG which has different kinds of knowledge (Pilault et al., 2021; Pfeiffer et al., 2021; Wang et al., 2021a; Wu et al., 2020). MTL (Liu et al., 2019a; Zhang and Yang, 2017; Caruana, 1997) learns a shared representation while aggregating knowledge across multiple learning tasks, often leading to better generalization ability of a model. However, parametric aggregation of knowledge with MTL has following limitations: (1) retraining the full model when adding new tasks (Houlsby et al., 2019; Pfeiffer et al., 2021, 2020b) (2) catastrophic forgetting and interference between tasks leading to difficulties of solving each task equally well (Pilault et al., 2021; Wu et al., 2020; Yu et al., 2020) and (3) inconsistent effect (Lourie et al., 2021). To deal with these challenges, Mixture-of-Experts (MoE) is a parameterized generalization of ensembling techniques, which has been adapted for MTL with gating network trained to optimize each task (Ma et al., 2018). However, simple linear gating networks are too shallow and thus may destruct task knowledge for commonsense reasoning."
Why is KG Modularization needed?,"To preserve the intrinsic knowledge of each Knowledge Graph (KG) and avoid interference between them, KG modularization is necessary","KG modularization is crucial for maintaining the intrinsic knowledge of each individual KG. As the selection and alignment of an appropriate KG has been shown to have a significant impact on downstream tasks, it is important that the model is able to learn the subtle differences between each KG without any interference from other KGs.","First, we modularize the KGs to preserve their intrinsic knowledge. Considering the importance of using a suitable and well-aligned KG (Ma et al., 2019, 2021) on a downstream task, the subtle difference between each KG should be learned by the model without any interference from each other. Accordingly, we adopt the adapter module (Houlsby et al., 2019) which repurposes a pre- trained language model (PLM) to incorporate each KG as tiny modules in between Transformer blocks. Specifically, as illustrated in Figure 2 (except for green area), the adapter training strategy involves injecting new layers (parameterized by Φ) into the original PLM (parameterized by θ). The weights of the original PLM are untouched, while the new adapter layers are initialized at random. Formally, we call each adapter trained with DkQA as an expert adapter for KG k, parameterized by ΦkQA."
What are the advantages of KG modularization using adapters?,"Sure! Here's the answer to your question based on the provided context:

Scalability and separate storage of knowledge",Adapter enables to store the corresponding knowledge separately without any interference. We can parallelize the training of the adapter for all KGs. The efficiency of adapter training allows our modularization to be more scalable.,"where KG-invariant parameters θ are fixed and only KG-dependent parameters Φk QA are learned, which enables to store the corresponding knowledge separately without any interference. Further, we can parallelize the training of the adapter for all KGs. The efficiency of adapter training allows our modularization to be more scalable."
How does the author show the mitigation of interference?,"By presenting the interference ratio of the models on five benchmark datasets, which shows that the author's method achieves a substantially better ratio, especially when the KG-C adapter is used, demonstrating the efficacy of the framework in mitigating interference between knowledge",Use interference ratio.,"Using the interference ratio, we can precisely compare the negative effects of multi-KG models on knowledge aggregation since the only reason to get the correct samples wrong is the interference caused by learning with additional KGs. We present the interference ratio of the models on five benchmark datasets in Figure 5. This figure shows that MTL has the higher interference ratio than the competing models across all benchmarks. Our method achieves a substantially better ratio, especially when KG-C adapter is used. This demonstrates the efficacy of our framework in mitigating interference between knowledge, which is one of the major problems of MTL."
What is the difference between zero-shot fusion and original AdapterFusion?,"Zero-shot fusion aims to generalize the transfer of knowledge to any arbitrary target task, whereas AdapterFusion focuses on learning to transfer knowledge to a specific target task","In contrast to AdapterFusion where the focus is learning to transfer knowledge to a specific target task, our zero-shot fusion aims to generalize this transfer to any arbitrary target task.","Once the expert adapters are learned, we combine the knowledge from each expert adapter using an attention-like mechanism. We present a novel fusion strategy as shown in Figure 2, which is referred to as the zero-shot fusion. In contrast to AdapterFusion (Pfeiffer et al., 2021) where the focus islearning to transfer knowledge to a specific targettask, our zero-shot fusion aims to generalize this transfer to any arbitrary target task. Specifically, the zero-shot fusion parameters Ψ learn to combine fixed expert adapters which are parameterized by Φ_1 QA, ..., Φ K QA. In each Transformer layer l of PLM with the injected fusion layer, the zero-shot fusion parameters ΨQA consist of query, key, and value matrices, denoted by WQ_l, WK_l, and WV_l respectively. These parameters are used to learn the balancing between the representation of each expert adapters through attention-like mechanism. While fixing both the parameters θ and all expert adapters Φ_1 QA, ..., Φ_K QA, the only trainable weights ΨQA on the fusion layer learns to combine the knowledge from different K expert adapters by using the subset of {Dk QA} K k=1 by random sampling. Here, we balance the ratio between the K knowledge-driven datasets as N samples (details are in Appendix D)."
Which dataset is used for fusion layer training?,A balanced mixture of KG-specific QA datasets,a balanced mixture of KG-specific QA datasets to train the fusion module.,"To address these limitations, we propose a novel, modularized framework that aims to learn multiple expert models for KGs, then conduct zero-shot fusion to allow collaboration among KGs. For this purpose, we leverage AdapterFusion (Pfeiffer et al., 2021) where multiple tiny modules between Transformer blocks called adapters (Houlsby et al., 2019) can be combined after independent training, thus allowing a continual integration of the adapters without retraining the entire framework. Specifically, we treat the adapters as different KG-specific experts, and combine them using an attention-like fusion module. To improve the fusion of adapters, we suggest a KG-alignment adapter that guides to the apt expert adapters. Here, we use KGs in three different synthetic supervision training: (1) KG-specific QA datasets to train the KG-specific expert adapters, (2) a KG classification datasets to train the KG-alignment adapter, and (3) a balanced mixture of KG-specific QA datasets to train the fusion module. Our modularized method alleviates the interference between different KGs, which is the pitfall of MTL from our empirical observation, and thus combines multiple KGs into a synergetic zero-shot framework."
Why is KG-Classifier adapter suggested?,"Sure! Here's my answer:

KG-Classifier adapter is suggested because it leverages the knowledge graph embeddings learned during pre-training to improve the performance of the downstream task, even in the zero-shot setting","To compensate that usage a mixture of synthetic QA for fusion training, which is not exactly a training task.","AdapterFusion uses the PLM hidden representation h^l_P LM as a query which is learned when training on a specific downstream task. In our zero-shot setting, however, we use a mixture of synthetic QA for fusion training, which is not exactly a training"
Which dataset is used for KG-Classifier adapter training?,DKGC (KG Classification dataset),"For KG-Classifier adapter training, KG classification dataset has been used. This dataset is generate by transforming a QA sample into a KG classification sample, using the concatenation of question and answer of synthetic QA as a question and the KG source as an answer.","To address these limitations, we propose a novel, modularized framework that aims to learn multiple expert models for KGs, then conduct zero-shot fusion to allow collaboration among KGs. For this purpose, we leverage AdapterFusion (Pfeiffer et al., 2021) where multiple tiny modules between Transformer blocks called adapters (Houlsby et al., 2019) can be combined after independent training, thus allowing a continual integration of the adapters without retraining the entire framework. Specifically, we treat the adapters as different KG-specific experts, and combine them using an attention-like fusion module. To improve the fusion of adapters, we suggest a KG-alignment adapter that guides to the apt expert adapters. Here, we use KGs in three different synthetic supervision training: (1) KG-specific QA datasets to train the KG-specific expert adapters, (2) a KG classification datasets to train the KG-alignment adapter, and (3) a balanced mixture of KG-specific QA datasets to train the fusion module. Our modularized method alleviates the interference between different KGs, which is the pitfall of MTL from our empirical observation, and thus combines multiple KGs into a synergetic zero-shot framework. Paragraph10 : Specifically, we propose a novel training task for KG-Classifier adapter, which requires predicting the KG for the given sample of the task. For that, given {Dk_QA} K k=1, we first transform a QA sample (Qi, Ai) into a new KG classification sample [Qi; Ai,label] where [; ] is the concatenation. Then, we obtain a new label yi ∈ {0, 1} K indicating the corresponding KG source. The samples are in Appendix E. Formally, KG classification dataset DKGC is defined as: DKGC = {([Qi ; Ai,label], yi)} M_i=1 (9) where M is the total size of {Dk QA} K k=1."
Which benchmark has been used for evaluation?,"Sure! Here's my answer:

Five question-answering benchmarks for commonsense","We evaluate our proposed framework on five question-answering benchmarks for commonsense reasoning: SocialIQA (SIQA) (Sap et al., 2019b), CommonsenseQA (CSQA) (Talmor et al., 2018), Abductive NLI (a-NLI) (Bhagavatula et al., 2020), PhysicalIQA (PIQA) (Bisk et al., 2020), and WinoGrande (WG) (Sakaguchi et al., 2020).",We evaluate our proposed framework on five question-answering benchmarks for commonsense
What does STL stand for?,STL stands for Single-Task Learning,Single-Task Learning (STL): The model is pre-trained on a synthetic QA dataset generated from a single KG.,"Single-Task Learning (STL): The model is pre-trained on a synthetic QA dataset generated from a single KG. Specifically, we experiment two architectural choices: PLM (STLPLM) and PLM with adapters (STL-Adapter). For each architecture, there are four STL models for each of synthetic QA datasets derived from ATOMIC, ConceptNet, WikiData, and WordNet. We note that the trained STLAdapter is an expert adapter from a specific KG in our framework. The performance of each STL baseline is shown in Appendix I Table 9 and Table 10."
What is the difference in test results according to the presence or absence of adapters?,"Sure! Here's the answer to your question based on the provided context:

The presence of the KG-C adapter improves the test results by 0.4% on average",KG-C adapter improves the average accuracy of zero-shot fusion by 0.4%,"Moreover, as an ablation, we compare the zeroshot fusion with and without KG-C adapter to explore the efficacy of the KG-C adapter. We can observe that zero-shot fusion with KG-C adapter improves the average accuracy by 0.4%, which implies that the use of KG-C adapter improves the overall performance and makes our method generalize better on most of the evaluation benchmarks."
How does KG-Classifier affect zero-shot fusion?,"KG-Classifier affects zero-shot fusion by enabling the delicate balancing between multiple knowledge sources based on KG-alignment awareness, leading to performance improvements in commonsense reasoning tasks",zero-shot fusion with KG-C adapter fuses the knowledge from different experts with a subtle difference rather than focusing on a single expert severely.,"Further, we explore how the KG-C adapter affects zero-shot fusion which is based on an attention-like mechanism (Pfeiffer et al., 2021) compared to zero-shot fusion without KG-C adapter. Here, while zero-shot fusion without KGC adapter simply uses the representation of PLM as a query, zero-shot fusion with KG-C adapter leverages the representation of KG-C adapter. To illustrate this strength, we visualize the attention probability of [CLS] token from each fusion layer as a representative in Figure 4. The column of the darker cell indicates the adapter that has the bigger influence on the fused representation. We can observe that zero-shot fusion with KG-C adapter fuses the knowledge from different experts with a subtle difference rather than focusing on a single expert severely. This implies that KG-C adapter enables the delicate balancing between multiple knowledge sources based on the KG-alignment awareness, which leads to performance improvements in commonsense reasoning tasks. Interestingly, both cases have the ability not to focus on the expert adapter based on WikiData, which can be seen as a redundant expert.4 This observation would benefit from the further study that explores the optimal combination of KGs by expert selection or rejection."
What is the correlation between the number of KGs and the performance when using zero-shot fusion?,"Sure! Here's the answer based on the given context:

POSITIVE CORRELATION",Zero-shot fusion obtains relative performance improvement across most of benchmark when more KGs are utilized for training.,"In Figure 6, while the MTL tends to show the decrease of the performance when more KGs are utilized for training, our method obtains relative performance improvement across most of benchmarks. In both framework, the slightly degraded performance of the combination of KGs without ATOMIC could be due to the strong alignment between ATOMIC and SIQA. Except for the above case, we can observe that as more KGs are leveraged, the color of the cell gets greener, which implies that our method gains more advantages for better performance. This demonstrates that our method enables knowledge aggregation for multiple KGs synergetically."
Why is neural integration of different KGs better than symbolic KG integration?,"Neural integration of different KGs is better than symbolic KG integration because it does not require additional processing and alignment information between KGs, allowing for the integration of a larger number of triples and relations without losing knowledge","Rather than such symbolic KG integration with the inevitable loss of knowledge, in this work, we explore the neural KG integration leveraging the multiple KGs without additional processing and alignment information between KG and task.","However, most of existing work are either assuming the existence of the alignment information between tasks and KGs (Banerjee and Baral, 2020) or an integrated KG (Ma et al., 2021). For example, \texttt{ATOMIC}^{20}_{20} (Hwang et al., 2021), a commonsense KG which incorporates tuples from ConceptNet and ATOMIC with new relations and further crowdsourcing, combines multiple KGs into a new integrated KG, but as widely known (Ilievski et al., 2020; Hwang et al., 2021), heterogeneous schema between different KGs may limit triplets that can be integrated.111Only 172K tuples of the 3.4M tuples and 5 relations of 36 relations in ConceptNet are integrated into \texttt{ATOMIC}^{20}_{20}. Rather than such symbolic KG integration with the inevitable loss of knowledge, in this work, we explore the neural KG integration leveraging the multiple KGs without additional processing and alignment information between KG and task."
What are the limitations of the parametric aggregation of knowledge with MTL?,"The limitations of the parametric aggregation of knowledge with MTL include:

1. Retraining the full model when adding new tasks.
2. Catastrophic forgetting and interference between tasks, leading to difficulties in solving each task equally well.
3. Inconsistent effect",(1) retraining the full model when adding new tasks (2) catastrophic forgetting and interference between tasks leading to difficulties of solving each task equally well and (3) inconsistent effect,"To consider different types of reasoning, this paper extends ideas from the aforementioned zero-shot learning to the multi-source case such that it benefits from different types of commonsense knowledge on individual KGs. For example, ATOMIC (Sap et al., 2019a) focuses on social commonsense while ConceptNet (Speer et al., 2017) contains conceptual knowledge. A practical approach is multi-task learning (MTL; Caruana, 1997; Liu et al., 2019a), which learns a shared encoder for different synthetic QA datasets from multiple KGs. Despite its effectiveness, MTL scheme suffers from interference among different KGs, which results in forgetting previously learned knowledge when trained on new KG which has different kinds of knowledge (Pilault et al., 2021; Pfeiffer et al., 2021; Wang et al., 2021a; Wu et al., 2020). MTL (Liu et al., 2019a; Zhang and Yang, 2017; Caruana, 1997) learns a shared representation while aggregating knowledge across multiple learning tasks, often leading to better generalization ability of a model. However, parametric aggregation of knowledge with MTL has following limitations: (1) retraining the full model when adding new tasks (Houlsby et al., 2019; Pfeiffer et al., 2021, 2020b) (2) catastrophic forgetting and interference between tasks leading to difficulties of solving each task equally well (Pilault et al., 2021; Wu et al., 2020; Yu et al., 2020) and (3) inconsistent effect (Lourie et al., 2021). To deal with these challenges, Mixture-of-Experts (MoE) is a parameterized generalization of ensembling techniques, which has been adapted for MTL with gating network trained to optimize each task (Ma et al., 2018). However, simple linear gating networks are too shallow and thus may destruct task knowledge for commonsense reasoning. To address this problem, AdapterFusion (Pfeiffer et al., 2021) has been proposed to fuse task specific parameters called adapters for the given target task leveraging attention-like mechanism. AdapterFusion aggregates adapters, which is trained independently for each task, in a non-destructive manner mitigating aforementioned MTL problems such as forgetting and interference between tasks. Recently, it has been used for zero-shot cross-lingual transfer framework (Pfeiffer et al., 2020c; Wang et al., 2021b), which motivates our work to transfer multi-source knowledge with less interference for zero-shot commonsense reasoning."
How does the author convert the triplet in KG into synthetic QA specifically?,"The author converts the triplet in KG into synthetic QA using templates to generate natural language questions based on the head and relation entities, and combines the correct answer with distractors to create a set of options for each question","given a triple (e^{head},r,e^{tail}) in a KG, where e^{head}, e^{tail} and r denote head/tail entity and relation respectively, we transform e^{head} and r into a natural language question Q_{i} using templates.","In our setup, we repurpose synthetic QA generation (Ma et al., 2021) for the task of knowledge-driven zero-shot learning for commonsense reasoning, i.e., we transform a KG into multiple (Q_{i},A_{i}) pairs where Q_{i} is a natural language question and A_{i}=\{A_{i,1},...,A_{i,m}\} is the set of options with m answer candidates. Specifically, given a triple (e^{head},r,e^{tail}) in a KG, where e^{head}, e^{tail} and r denote head/tail entity and relation respectively, we transform e^{head} and r into a natural language question Q_{i} using templates. For the option set A_{i}, we use the combination of the correct answer e^{tail} and m-1 distractors which are tail entities from other triples sampled randomly (Ma et al., 2021). Details are described in Appendix B."
What does MTL stand for?,MTL stands for Multi-Task Learning,"Conventionally, MTL stands for multiple learning tasks. Here, for experiment, the author call the model pre-trained on multiple synthetic QA datasets as MTL.","MTL (Liu et al., 2019a; Zhang and Yang, 2017; Caruana, 1997) learns a shared representation while aggregating knowledge across multiple learning tasks, often leading to better generalization ability of a model. However, parametric aggregation of knowledge with MTL has following limitations: (1) retraining the full model when adding new tasks (Houlsby et al., 2019; Pfeiffer et al., 2021, 2020b) (2) catastrophic forgetting and interference between tasks leading to difficulties of solving each task equally well (Pilault et al., 2021; Wu et al., 2020; Yu et al., 2020) and (3) inconsistent effect (Lourie et al., 2021). To deal with these challenges, Mixture-of-Experts (MoE) is a parameterized generalization of ensembling techniques, which has been adapted for MTL with gating network trained to optimize each task (Ma et al., 2018). However, simple linear gating networks are too shallow and thus may destruct task knowledge for commonsense reasoning. Paragraph10 : Multi-Task Learning (MTL): The model is pre-trained on multiple synthetic QA datasets, each of which is generated from a KG. We experiment with a PLM trained on all four aforementioned synthetic QA datasets. We note that the difference between STL-PLM and MTL is whether to use one synthetic QA dataset or multiple synthetic QA datasets for its training."
What can be the future work related to this paper?,"Sure! Here's the answer to the question based on the provided context:

Future work can include adapting the methods to modularize multiple knowledge graphs and exploring the use of modularized KG experts for transfer learning","In the future, our work can be extended to adapt our methods to further various multiple KGs with studies of appropriate scale for KG modularization. In addition, based on our hypothesis that the existence of an optimal combination, we can explore the study for the optional use of modularized KG experts for the best transfer learning.","In the future, our work can be extended to adapt our methods to further various multiple KGs with studies of appropriate scale for KG modularization. In addition, based on our hypothesis that the existence of an optimal combination, we can explore the study for the optional use of modularized KG experts for the best transfer learning."
Why is there decrease of the performance of the zeor-shot fusion without ATOMIC?,"Sure! Here's the answer based on the given context:

The performance decrease of the zero-shot fusion without ATOMIC is due to the strong alignment between ATOMIC and SIQA, which results in a slight degradation in performance when more KGs are utilized for training","In both framework, the slightly degraded performance of the combination of KGs without ATOMIC could be due to the strong alignment between ATOMIC and SIQA.","In Figure 6, while the MTL tends to show the decrease of the performance when more KGs are utilized for training, our method obtains relative performance improvement across most of benchmarks. In both framework, the slightly degraded performance of the combination of KGs without ATOMIC could be due to the strong alignment between ATOMIC and SIQA. Except for the above case, we can observe that as more KGs are leveraged, the color of the cell gets greener, which implies that our method gains more advantages for better performance. This demonstrates that our method enables knowledge aggregation for multiple KGs synergetically."
What is the main motivation of this work?,"To build unsupervised zero-shot multiple-choice QA systems that can simultaneously consider different types of reasoning abilities, addressing the limitations of previous approaches that focus on a single type of reasoning relation","This work has been motivated from the fact that real-world QA systems require simultaneously considering different types of reasoning abilities. Therefore, this paper target an arbitrary commonsense reasoning task where conventional approaches are not applicable to such zero-shot learning scenarios.","Inspired by this new metric, in this work, we focus on building unsupervised zero-shot multiple-choice QA systems. That is, we target an arbitrary commonsense reasoning task where conventional approaches (that rely heavily on task-specific supervision) are not applicable to such zero-shot learning scenarios. To learn QA models without expensive annotation efforts, recent works (Ma et al., 2021; Banerjee and Baral, 2020; Malaviya et al., 2020) propose to generate a synthetic QA dataset using a commonsense KG such as ATOMIC (Sap et al., 2019a) and ConceptNet (Speer et al., 2017). Such an approach mostly focuses only on one specific type of reasoning relations (e.g., if-then relation, or declarative relation), neglecting the fact that real-world QA systems require simultaneously considering different types of reasoning abilities (e.g., declarative and social, or causal and physical reasoning; Ilievski et al., 2021; Chang et al., 2021)."
How does KG-Classifier work in framework?,"KG-Classifier works as a query in the attention-like mechanism, using the hidden representation h^{l}_{KGC} of the KG-Classifier adapter to substitute Q^{l} in the equation",using the hidden representation h^{l}_{KGC} of a KG-Classifier adapter parameterized by ΦKGC as a query,"We propose to use the representation of KGClassifier adapter as a query in attention-like mechanism, referred to as the zero-shot fusion with KGClassifier adapter. That is, using the hidden representation h^{l}_{KGC} of a KG-Classifier adapter parameterized by ΦKGC as a query, we substitute Q^{l} in Eq. (11) as follows:"
What is Majority in baselines?,"Sure! Here's my answer:

The most frequent label",Majority is the results when selecting with the most frequent label as an answer.,"We compare our framework with the following baselines. First, to show the characteristics of each benchmark, we use the random or the most frequent label as Random and Majority baseline, respectively. RoBERTa-L and GPT2-L is the performance of each PLM without any finetuning. Also, as the baseline for the unsupervised learning model using KGs, we report the performance of Self-talk (Shwartz et al., 2020), COMET-DynaGen (Bosselut and Choi, 2019), SMLM (Banerjee and Baral, 2020) as presented in original papers."
What are the examples of the Synthetic QA?,"Sure! Here's my answer:

Synthetic QA examples from ATOMIC (Sap et al., 2019a) include:

* Question-answering on a variety of domains, such as science, history, and entertainment.
* Answering open-ended questions that require reasoning and inference.
* Generating answers in natural language, rather than just providing a list of facts",Q: Dana speeds on the highway. Dana is seen as A1: considerate A2: risky(X) A3: lazy,"QA from ATOMIC (Sap et al., 2019a)"
